Dates,Dates,MSLP,SIE,Unnamed: 3,Unnamed: 4,Unnamed: 5,year,day,month
1.0,1.0,2899.8639999999996,6.830363636363637,,,,2017.0,1.0,1.0
1.0,2.0,2923.860454545455,6.6779090909090915,,,,2017.0,2.0,1.0
1.0,3.0,3052.371809090909,6.539727272727273,,,,2017.0,3.0,1.0
1.0,4.0,3146.6999272727267,6.404181818181817,,,,2017.0,4.0,1.0
1.0,5.0,3123.2894181818187,6.256,,,,2017.0,5.0,1.0
1.0,6.0,3061.698518181818,6.13490909090909,,,,2017.0,6.0,1.0
1.0,7.0,2954.4748000000004,5.978818181818181,,,,2017.0,7.0,1.0
1.0,8.0,3039.5795454545446,5.850818181818183,,,,2017.0,8.0,1.0
1.0,9.0,2964.9701545454545,5.7064545454545454,,,,2017.0,9.0,1.0
1.0,10.0,2867.3789090909095,5.555090909090908,,,,2017.0,10.0,1.0
1.0,11.0,2912.1896181818183,5.425272727272728,,,,2017.0,11.0,1.0
1.0,12.0,2888.1764999999996,5.286818181818181,,,,2017.0,12.0,1.0
1.0,13.0,2989.2979363636364,5.167454545454546,,,,2017.0,13.0,1.0
1.0,14.0,3120.1743545454547,5.0341818181818185,,,,2017.0,14.0,1.0
1.0,15.0,3108.567109090909,4.899454545454545,,,,2017.0,15.0,1.0
1.0,16.0,3171.100127272727,4.804909090909091,,,,2017.0,16.0,1.0
1.0,17.0,3171.645936363637,4.692181818181819,,,,2017.0,17.0,1.0
1.0,18.0,3191.9027,4.561727272727273,,,,2017.0,18.0,1.0
1.0,19.0,3199.016690909091,4.437363636363636,,,,2017.0,19.0,1.0
1.0,20.0,3148.885636363637,4.318545454545454,,,,2017.0,20.0,1.0
1.0,21.0,3199.379609090909,4.22190909090909,,,,2017.0,21.0,1.0
1.0,22.0,3161.5056636363634,4.137636363636363,,,,2017.0,22.0,1.0
1.0,23.0,3156.9978909090905,4.053090909090909,,,,2017.0,23.0,1.0
1.0,24.0,3179.634227272727,3.9425454545454546,,,,2017.0,24.0,1.0
1.0,25.0,3169.0696090909087,3.860454545454545,,,,2017.0,25.0,1.0
1.0,26.0,3245.9680272727273,3.794454545454545,,,,2017.0,26.0,1.0
1.0,27.0,3215.3274181818183,3.725,,,,2017.0,27.0,1.0
1.0,28.0,3320.757463636364,3.6724545454545447,,,,2017.0,28.0,1.0
1.0,29.0,3673.471563636363,3.6071818181818176,,,,2017.0,29.0,1.0
1.0,30.0,3811.966963636363,3.5484545454545455,,,,2017.0,30.0,1.0
1.0,31.0,3771.3661090909086,3.5073636363636367,,,,2017.0,31.0,1.0
2.0,1.0,3684.9346454545453,3.4714545454545456,,,,2017.0,1.0,2.0
2.0,2.0,3673.945290909091,3.411454545454545,,,,2017.0,2.0,2.0
2.0,3.0,3846.178954545455,3.3452727272727274,,,,2017.0,3.0,2.0
2.0,4.0,3864.5983909090905,3.3034545454545454,,,,2017.0,4.0,2.0
2.0,5.0,3735.767390909091,3.247636363636364,,,,2017.0,5.0,2.0
2.0,6.0,3801.1281909090903,3.2092727272727273,,,,2017.0,6.0,2.0
2.0,7.0,3821.658718181818,3.1684545454545456,,,,2017.0,7.0,2.0
2.0,8.0,3711.967663636364,3.1324545454545456,,,,2017.0,8.0,2.0
2.0,9.0,3651.2507272727275,3.082909090909091,,,,2017.0,9.0,2.0
2.0,10.0,3725.7773727272724,3.0269090909090908,,,,2017.0,10.0,2.0
2.0,11.0,3745.567818181818,3.0117272727272733,,,,2017.0,11.0,2.0
2.0,12.0,3592.1125636363636,2.9798181818181817,,,,2017.0,12.0,2.0
2.0,13.0,3565.4332272727274,2.9497272727272725,,,,2017.0,13.0,2.0
2.0,14.0,3579.775218181818,2.9179090909090912,,,,2017.0,14.0,2.0
2.0,15.0,3552.365772727273,2.8991818181818183,,,,2017.0,15.0,2.0
2.0,16.0,3621.3437636363637,2.869363636363637,,,,2017.0,16.0,2.0
2.0,17.0,3711.2677909090908,2.8597272727272727,,,,2017.0,17.0,2.0
2.0,18.0,3608.9748000000004,2.841363636363636,,,,2017.0,18.0,2.0
