,decade,month,Date,Extent,Month
34,1970,1979-01,2,6.945,1
35,1970,1979-01,4,6.837999999999999,1
36,1970,1979-01,6,6.638,1
37,1970,1979-01,8,6.27,1
38,1970,1979-01,10,6.138,1
39,1970,1979-01,12,5.952000000000001,1
40,1970,1979-01,14,5.564,1
41,1970,1979-01,16,5.379,1
42,1970,1979-01,18,5.233,1
43,1970,1979-01,20,4.984,1
44,1970,1979-01,22,4.609,1
45,1970,1979-01,24,4.397,1
46,1970,1979-01,26,4.184,1
47,1970,1979-01,28,4.004,1
48,1970,1979-01,30,3.898,1
49,1970,1979-02,1,3.7039999999999997,2
50,1970,1979-02,3,3.516,2
51,1970,1979-02,5,3.367,2
52,1970,1979-02,7,3.326,2
53,1970,1979-02,9,3.2119999999999997,2
54,1970,1979-02,11,3.043,2
55,1970,1979-02,13,3.049,2
56,1970,1979-02,15,2.9160000000000004,2
57,1970,1979-02,17,2.911,2
58,1970,1979-02,19,2.95,2
59,1970,1979-02,21,2.945,2
60,1970,1979-02,23,2.924,2
61,1970,1979-02,25,2.9960000000000004,2
62,1970,1979-02,27,3.116,2
63,1970,1979-03,1,3.248,3
64,1970,1979-03,3,3.0789999999999997,3
65,1970,1979-03,5,3.228,3
66,1970,1979-03,7,3.3080000000000003,3
67,1970,1979-03,9,3.366,3
68,1970,1979-03,11,3.443,3
69,1970,1979-03,13,3.594,3
70,1970,1979-03,15,3.721,3
71,1970,1979-03,17,3.832,3
72,1970,1979-03,19,4.091,3
73,1970,1979-03,21,4.248,3
74,1970,1979-03,23,4.5,3
75,1970,1979-03,25,4.8180000000000005,3
76,1970,1979-03,27,4.894,3
77,1970,1979-03,29,5.207999999999999,3
78,1970,1979-03,31,5.4110000000000005,3
79,1970,1979-04,2,5.649,4
80,1970,1979-04,4,5.8260000000000005,4
81,1970,1979-04,6,6.152,4
82,1970,1979-04,8,6.409,4
83,1970,1979-04,10,6.806,4
84,1970,1979-04,12,7.149,4
85,1970,1979-04,14,7.309,4
86,1970,1979-04,16,7.587000000000001,4
87,1970,1979-04,18,7.742000000000001,4
88,1970,1979-04,20,8.01,4
89,1970,1979-04,22,8.273,4
90,1970,1979-04,24,8.572000000000001,4
91,1970,1979-04,26,8.791,4
92,1970,1979-04,28,8.97,4
93,1970,1979-04,30,9.038,4
94,1970,1979-05,2,9.162,5
95,1970,1979-05,4,9.498,5
96,1970,1979-05,6,9.968,5
97,1970,1979-05,8,9.847999999999999,5
98,1970,1979-05,10,10.109,5
99,1970,1979-05,12,10.342,5
100,1970,1979-05,14,10.655999999999999,5
101,1970,1979-05,16,10.953,5
102,1970,1979-05,18,11.145,5
103,1970,1979-05,20,11.273,5
104,1970,1979-05,22,11.458,5
105,1970,1979-05,24,11.634,5
106,1970,1979-05,26,11.868,5
107,1970,1979-05,28,12.116,5
108,1970,1979-05,30,12.37,5
109,1970,1979-06,1,12.654000000000002,6
110,1970,1979-06,3,13.061,6
111,1970,1979-06,5,13.24,6
112,1970,1979-06,7,13.452,6
113,1970,1979-06,9,13.523,6
114,1970,1979-06,11,13.661,6
115,1970,1979-06,13,13.748,6
116,1970,1979-06,15,13.952,6
117,1970,1979-06,17,14.26,6
118,1970,1979-06,19,14.588,6
119,1970,1979-06,21,14.909,6
120,1970,1979-06,23,15.227,6
121,1970,1979-06,25,15.370999999999999,6
122,1970,1979-06,27,15.513,6
