time,Year,Month,Day,SIE
1/1/12,2012,1,1,7-Jan-00
1/2/12,2012,1,2,7-Jan-00
1/3/12,2012,1,3,7-Jan-00
1/4/12,2012,1,4,7-Jan-00
1/5/12,2012,1,5,7-Jan-00
1/6/12,2012,1,6,6-Jan-00
1/7/12,2012,1,7,6-Jan-00
1/8/12,2012,1,8,6-Jan-00
1/9/12,2012,1,9,6-Jan-00
1/10/12,2012,1,10,6-Jan-00
1/11/12,2012,1,11,6-Jan-00
1/12/12,2012,1,12,5-Jan-00
13/1/2012,2012,1,13,5-Jan-00
14/1/2012,2012,1,14,5-Jan-00
15/1/2012,2012,1,15,5-Jan-00
16/1/2012,2012,1,16,5-Jan-00
17/1/2012,2012,1,17,5-Jan-00
18/1/2012,2012,1,18,5-Jan-00
19/1/2012,2012,1,19,5-Jan-00
20/1/2012,2012,1,20,5-Jan-00
21/1/2012,2012,1,21,4-Jan-00
22/1/2012,2012,1,22,4-Jan-00
23/1/2012,2012,1,23,4-Jan-00
24/1/2012,2012,1,24,4-Jan-00
25/1/2012,2012,1,25,4-Jan-00
26/1/2012,2012,1,26,4-Jan-00
27/1/2012,2012,1,27,4-Jan-00
28/1/2012,2012,1,28,4-Jan-00
29/1/2012,2012,1,29,4-Jan-00
30/1/2012,2012,1,30,4-Jan-00
31/1/2012,2012,1,31,4-Jan-00
2/1/12,2012,2,1,4-Jan-00
2/2/12,2012,2,2,4-Jan-00
2/3/12,2012,2,3,4-Jan-00
2/4/12,2012,2,4,4-Jan-00
2/5/12,2012,2,5,4-Jan-00
2/6/12,2012,2,6,3-Jan-00
2/7/12,2012,2,7,3-Jan-00
2/8/12,2012,2,8,3-Jan-00
2/9/12,2012,2,9,3-Jan-00
2/10/12,2012,2,10,3-Jan-00
2/11/12,2012,2,11,3-Jan-00
2/12/12,2012,2,12,3-Jan-00
13/2/2012,2012,2,13,3-Jan-00
14/2/2012,2012,2,14,3-Jan-00
15/2/2012,2012,2,15,3-Jan-00
16/2/2012,2012,2,16,3-Jan-00
17/2/2012,2012,2,17,3-Jan-00
18/2/2012,2012,2,18,3-Jan-00
19/2/2012,2012,2,19,3-Jan-00
20/2/2012,2012,2,20,3-Jan-00
21/2/2012,2012,2,21,3-Jan-00
22/2/2012,2012,2,22,3-Jan-00
23/2/2012,2012,2,23,3-Jan-00
24/2/2012,2012,2,24,3-Jan-00
25/2/2012,2012,2,25,3-Jan-00
26/2/2012,2012,2,26,3-Jan-00
27/2/2012,2012,2,27,3-Jan-00
28/2/2012,2012,2,28,3-Jan-00
29/2/2012,2012,2,29,3-Jan-00
3/1/12,2012,3,1,3-Jan-00
3/2/12,2012,3,2,3-Jan-00
3/3/12,2012,3,3,3-Jan-00
3/4/12,2012,3,4,3-Jan-00
3/5/12,2012,3,5,3-Jan-00
3/6/12,2012,3,6,3-Jan-00
3/7/12,2012,3,7,3-Jan-00
3/8/12,2012,3,8,3-Jan-00
3/9/12,2012,3,9,3-Jan-00
3/10/12,2012,3,10,4-Jan-00
3/11/12,2012,3,11,4-Jan-00
3/12/12,2012,3,12,4-Jan-00
13/3/2012,2012,3,13,4-Jan-00
14/3/2012,2012,3,14,4-Jan-00
15/3/2012,2012,3,15,4-Jan-00
16/3/2012,2012,3,16,4-Jan-00
17/3/2012,2012,3,17,4-Jan-00
18/3/2012,2012,3,18,4-Jan-00
19/3/2012,2012,3,19,4-Jan-00
20/3/2012,2012,3,20,4-Jan-00
21/3/2012,2012,3,21,5-Jan-00
22/3/2012,2012,3,22,5-Jan-00
23/3/2012,2012,3,23,5-Jan-00
24/3/2012,2012,3,24,5-Jan-00
25/3/2012,2012,3,25,5-Jan-00
26/3/2012,2012,3,26,5-Jan-00
27/3/2012,2012,3,27,5-Jan-00
28/3/2012,2012,3,28,5-Jan-00
29/3/2012,2012,3,29,5-Jan-00
30/3/2012,2012,3,30,5-Jan-00
31/3/2012,2012,3,31,5-Jan-00
4/1/12,2012,4,1,5-Jan-00
4/2/12,2012,4,2,6-Jan-00
4/3/12,2012,4,3,6-Jan-00
4/4/12,2012,4,4,6-Jan-00
4/5/12,2012,4,5,6-Jan-00
4/6/12,2012,4,6,6-Jan-00
4/7/12,2012,4,7,6-Jan-00
4/8/12,2012,4,8,6-Jan-00
4/9/12,2012,4,9,6-Jan-00
4/10/12,2012,4,10,6-Jan-00
4/11/12,2012,4,11,6-Jan-00
4/12/12,2012,4,12,6-Jan-00
13/4/2012,2012,4,13,6-Jan-00
14/4/2012,2012,4,14,7-Jan-00
15/4/2012,2012,4,15,7-Jan-00
16/4/2012,2012,4,16,7-Jan-00
17/4/2012,2012,4,17,7-Jan-00
18/4/2012,2012,4,18,7-Jan-00
19/4/2012,2012,4,19,7-Jan-00
20/4/2012,2012,4,20,7-Jan-00
21/4/2012,2012,4,21,7-Jan-00
22/4/2012,2012,4,22,8-Jan-00
23/4/2012,2012,4,23,8-Jan-00
24/4/2012,2012,4,24,8-Jan-00
25/4/2012,2012,4,25,8-Jan-00
26/4/2012,2012,4,26,8-Jan-00
27/4/2012,2012,4,27,8-Jan-00
28/4/2012,2012,4,28,8-Jan-00
29/4/2012,2012,4,29,8-Jan-00
30/4/2012,2012,4,30,8-Jan-00
5/1/12,2012,5,1,8-Jan-00
5/2/12,2012,5,2,9-Jan-00
5/3/12,2012,5,3,9-Jan-00
5/4/12,2012,5,4,9-Jan-00
5/5/12,2012,5,5,9-Jan-00
5/6/12,2012,5,6,9-Jan-00
5/7/12,2012,5,7,9-Jan-00
5/8/12,2012,5,8,9-Jan-00
5/9/12,2012,5,9,9-Jan-00
5/10/12,2012,5,10,10-Jan-00
5/11/12,2012,5,11,9-Jan-00
5/12/12,2012,5,12,10-Jan-00
13/5/2012,2012,5,13,10-Jan-00
14/5/2012,2012,5,14,10-Jan-00
15/5/2012,2012,5,15,10-Jan-00
16/5/2012,2012,5,16,10-Jan-00
17/5/2012,2012,5,17,10-Jan-00
18/5/2012,2012,5,18,10-Jan-00
19/5/2012,2012,5,19,10-Jan-00
20/5/2012,2012,5,20,10-Jan-00
21/5/2012,2012,5,21,10-Jan-00
22/5/2012,2012,5,22,11-Jan-00
23/5/2012,2012,5,23,11-Jan-00
24/5/2012,2012,5,24,11-Jan-00
25/5/2012,2012,5,25,11-Jan-00
26/5/2012,2012,5,26,11-Jan-00
27/5/2012,2012,5,27,11-Jan-00
28/5/2012,2012,5,28,11-Jan-00
29/5/2012,2012,5,29,11-Jan-00
30/5/2012,2012,5,30,11-Jan-00
31/5/2012,2012,5,31,11-Jan-00
6/1/12,2012,6,1,11-Jan-00
6/2/12,2012,6,2,12-Jan-00
6/3/12,2012,6,3,12-Jan-00
6/4/12,2012,6,4,12-Jan-00
6/5/12,2012,6,5,12-Jan-00
6/6/12,2012,6,6,12-Jan-00
6/7/12,2012,6,7,12-Jan-00
6/8/12,2012,6,8,12-Jan-00
6/9/12,2012,6,9,12-Jan-00
6/10/12,2012,6,10,12-Jan-00
6/11/12,2012,6,11,13-Jan-00
6/12/12,2012,6,12,13-Jan-00
13/6/2012,2012,6,13,13-Jan-00
14/6/2012,2012,6,14,13-Jan-00
15/6/2012,2012,6,15,13-Jan-00
16/6/2012,2012,6,16,13-Jan-00
17/6/2012,2012,6,17,13-Jan-00
18/6/2012,2012,6,18,13-Jan-00
19/6/2012,2012,6,19,13-Jan-00
20/6/2012,2012,6,20,14-Jan-00
21/6/2012,2012,6,21,14-Jan-00
22/6/2012,2012,6,22,14-Jan-00
23/6/2012,2012,6,23,14-Jan-00
24/6/2012,2012,6,24,14-Jan-00
25/6/2012,2012,6,25,14-Jan-00
26/6/2012,2012,6,26,14-Jan-00
27/6/2012,2012,6,27,14-Jan-00
28/6/2012,2012,6,28,14-Jan-00
29/6/2012,2012,6,29,14-Jan-00
30/6/2012,2012,6,30,15-Jan-00
7/1/12,2012,7,1,15-Jan-00
7/2/12,2012,7,2,15-Jan-00
7/3/12,2012,7,3,15-Jan-00
7/4/12,2012,7,4,15-Jan-00
7/5/12,2012,7,5,15-Jan-00
7/6/12,2012,7,6,15-Jan-00
7/7/12,2012,7,7,15-Jan-00
7/8/12,2012,7,8,15-Jan-00
7/9/12,2012,7,9,15-Jan-00
7/10/12,2012,7,10,15-Jan-00
7/11/12,2012,7,11,16-Jan-00
7/12/12,2012,7,12,16-Jan-00
13/7/2012,2012,7,13,16-Jan-00
14/7/2012,2012,7,14,16-Jan-00
15/7/2012,2012,7,15,16-Jan-00
16/7/2012,2012,7,16,16-Jan-00
17/7/2012,2012,7,17,16-Jan-00
18/7/2012,2012,7,18,16-Jan-00
19/7/2012,2012,7,19,16-Jan-00
20/7/2012,2012,7,20,16-Jan-00
21/7/2012,2012,7,21,16-Jan-00
22/7/2012,2012,7,22,16-Jan-00
23/7/2012,2012,7,23,16-Jan-00
24/7/2012,2012,7,24,16-Jan-00
25/7/2012,2012,7,25,17-Jan-00
26/7/2012,2012,7,26,17-Jan-00
27/7/2012,2012,7,27,17-Jan-00
28/7/2012,2012,7,28,17-Jan-00
29/7/2012,2012,7,29,17-Jan-00
30/7/2012,2012,7,30,17-Jan-00
31/7/2012,2012,7,31,17-Jan-00
8/1/12,2012,8,1,17-Jan-00
8/2/12,2012,8,2,17-Jan-00
8/3/12,2012,8,3,17-Jan-00
8/4/12,2012,8,4,17-Jan-00
8/5/12,2012,8,5,17-Jan-00
8/6/12,2012,8,6,17-Jan-00
8/7/12,2012,8,7,17-Jan-00
8/8/12,2012,8,8,17-Jan-00
8/9/12,2012,8,9,17-Jan-00
8/10/12,2012,8,10,17-Jan-00
8/11/12,2012,8,11,18-Jan-00
8/12/12,2012,8,12,18-Jan-00
13/8/2012,2012,8,13,18-Jan-00
14/8/2012,2012,8,14,18-Jan-00
15/8/2012,2012,8,15,18-Jan-00
16/8/2012,2012,8,16,18-Jan-00
17/8/2012,2012,8,17,18-Jan-00
18/8/2012,2012,8,18,18-Jan-00
19/8/2012,2012,8,19,18-Jan-00
20/8/2012,2012,8,20,18-Jan-00
21/8/2012,2012,8,21,18-Jan-00
22/8/2012,2012,8,22,18-Jan-00
23/8/2012,2012,8,23,18-Jan-00
24/8/2012,2012,8,24,18-Jan-00
25/8/2012,2012,8,25,18-Jan-00
26/8/2012,2012,8,26,18-Jan-00
27/8/2012,2012,8,27,18-Jan-00
28/8/2012,2012,8,28,18-Jan-00
