Month,Sea Ice Extent (Million sq. km)
7,1.89582
7,1.89853
7,1.90552
7,1.91305
7,1.91735
7,1.92466
7,1.93056
7,1.93815
7,1.94523
7,1.9492
7,1.94387
7,1.94969
7,1.95257
7,1.96171
7,1.96452
7,1.97002
7,1.97651
7,1.97481
7,1.97612
8,1.98254
8,1.98961
8,1.99471
8,2.00689
8,2.01214
8,2.00912
8,2.0103
8,2.01241
8,2.01532
8,2.02577
8,2.0307
8,2.03763
8,2.04772
8,2.0565
8,2.05752
8,2.05716
8,2.05833
8,2.06123
8,2.0671
8,2.07263
8,2.07743
8,2.07962
8,2.07972
8,2.07998
8,2.08104
8,2.07599
8,2.07789
8,2.07853
8,2.08418
8,2.08692
8,2.08711
9,2.09283
9,2.09569
9,2.09624
9,2.09533
9,2.10493
9,2.11044
9,2.11515
9,2.12027
9,2.11929
9,2.12149
9,2.12552
9,2.12654
9,2.13204
9,2.13397
9,2.13742
9,2.14112
9,2.14354
9,2.15195
9,2.16233
9,2.16709
9,2.16914
9,2.16887
9,2.17193
9,2.17288
9,2.17399
9,2.16599
9,2.1625
9,2.1624
9,2.16706
9,2.16871
10,2.17055
10,2.17858
10,2.1772
10,2.17556
10,2.17876
10,2.17697
10,2.17294
10,2.16757
10,2.16554
10,2.15981
10,2.15985
10,2.15928
10,2.15897
10,2.15741
10,2.15451
10,2.15635
10,2.15063
10,2.14714
10,2.14301
10,2.13758
10,2.13541
10,2.13159
10,2.12644
10,2.12265
10,2.12222
10,2.12221
10,2.11653
10,2.11536
10,2.11265
10,2.1142
10,2.11223
11,2.11089
11,2.10323
11,2.09562
11,2.09057
11,2.08601
11,2.08334
11,2.07207
11,2.07299
11,2.07119
11,2.06326
11,2.05975
11,2.05526
11,2.0506
11,2.04405
11,2.03927
11,2.03196
11,2.02379
11,2.01608
11,2.01308
11,2.00372
11,1.99389
11,1.99108
11,1.98603
11,1.97556
11,1.96605
11,1.95978
11,1.95295
11,1.94164
11,1.93233
11,1.91869
12,1.91056
12,1.89564
12,1.8831
12,1.87315
12,1.86528
12,1.85073
12,1.82958
12,1.8196
12,1.80874
12,1.79598
12,1.78121
12,1.77124
12,1.76206
12,1.74162
12,1.73325
12,1.72552
12,1.70866
12,1.69747
12,1.68474
12,1.66943
12,1.6587
12,1.6447
12,1.62693
12,1.61032
12,1.59352
12,1.5826
12,1.56174
12,1.54506
12,1.52716
12,1.51314
12,1.50361
1,1.48919
1,1.4723
1,1.45506
1,1.43942
1,1.42115
1,1.41235
1,1.40035
1,1.38637
1,1.37114
1,1.36193
1,1.3542
1,1.33881
1,1.33519
1,1.32861
1,1.31958
1,1.31494
1,1.30738
1,1.30157
1,1.28997
1,1.28733
1,1.27878
1,1.27325
1,1.26556
1,1.25589
1,1.2531
1,1.24275
1,1.23939
1,1.2321
1,1.22837
1,1.22313
1,1.21923
2,1.21347
2,1.21248
2,1.20911
2,1.20707
2,1.20396
2,1.19818
2,1.1944
2,1.19043
2,1.1825
2,1.18048
2,1.17576
2,1.17213
2,1.16868
2,1.16524
2,1.16232
2,1.15945
2,1.15643
2,1.15223
2,1.15271
2,1.14929
2,1.14925
2,1.15036
2,1.1491
2,1.14745
2,1.14322
2,1.14159
2,1.14178
2,1.14468
3,1.14348
3,1.14425
3,1.14259
3,1.14761
3,1.14802
3,1.14427
3,1.14546
3,1.14466
3,1.14692
3,1.1518
3,1.15495
3,1.16214
3,1.16382
3,1.16425
3,1.16734
3,1.17572
3,1.18255
3,1.19052
3,1.19659
3,1.20121
3,1.20447
3,1.20934
3,1.21196
3,1.21383
3,1.21521
3,1.21801
3,1.22269
3,1.22751
3,1.23049
3,1.23361
3,1.23709
4,1.24287
4,1.25035
4,1.25063
4,1.25649
4,1.25968
4,1.26439
4,1.26702
4,1.27364
4,1.27788
4,1.28717
4,1.28929
4,1.29822
4,1.30333
4,1.31014
4,1.31656
4,1.32377
4,1.33228
4,1.33866
4,1.34317
4,1.35032
4,1.35393
4,1.36179
4,1.36581
